机器学习,PaddlePaddle/X2Paddle,5
机器学习,之江天枢/OneFlow,5
机器学习,zmh-program/Deeptrain,5
机器学习,Gitee 极速下载/ElasticDL,5
机器学习,Apache/tvm,5
机器学习,WeBank/eggroll,5
机器学习,NVIDIA_Developer_Community/DIGITS,5
机器学习,Ascend/MindSpeed-Core-MS,5
机器学习,京东零售/Galileo,5
机器学习,马登军/CNTK,5
ai,Ascend/CATLASS,6
ai,OSC源创会/AI学习,6
ai,dreamsfly/ WeaveNet,6
ai,Ascend/msit,6
ai,WeBank/FATE,6
ai,cungudafa/keras-yolo3,6
ai,icybee/icyChessZero,6
ai,Ascend/mstt,6
ai,夜半饿得慌/beauty,6
ai,雨花石/FastGPT,6
ai,Victor/chat-ollama,6
ai,Chatopera/Synonyms,6
ai,Angus/chat-plus,6
ai,大腹太卷/Lane_Detection,6
ai,兰博文/GPT_Assistant_Android,6
机器学习,PaddlePaddle/Paddle2ONNX,6
机器学习,Hans/infers,6
机器学习,FlipTurn/bustag,6
机器学习,算法美食屋/torchkeras,6
机器学习,fQwQf/faQnet,6
机器学习,TensorLayer/dcgan,6
机器学习,高艳鹏/GPT2-chitchat,6
机器学习,dreamsfly/CNNSharp,6
机器学习,TensorLayer/RLzoo,6
机器学习,VIT/基于深度学习的商品识别系统的设计与实现,6
机器学习,WenkeHuang/ML-Quantamental,6
机器学习,Gitee 极速下载/openai-gym,6
机器学习,OpenDILab开源决策智能平台/DI-orchestrator,6
机器学习,Huey Song/Plane_RL,6
机器学习,PaddlePaddle/edl,6
ai,Ascend/mindsdk-referenceapps,7
ai,PaddlePaddle/models,7
ai,Vanishi/xclabel,7
ai,feiwang/Awesome-Chatbot,7
ai,乔永刚/AI创作系统cahtgpt聊天系统小程序PC端,7
ai,CHB/profile-tags,7
ai,Gtr/chatgpt-java,7
ai,1595901624/Gpt聚合版,7
ai,star/calculator,7
ai,ModelArts/ModelArts-Lab,7
ai,OpenDocCN/ailearning,7
ai,yh/ai-chat-open,7
ai,AvenirTech 未来科技/Honinbo,7
ai,rnchg/APT,7
ai,letsmagic/magic,7
机器学习,Gitee 极速下载/Horovod,7
机器学习,Gitee 极速下载/GraphPipe,7
机器学习,PaddlePaddle/AutoDL,7
机器学习,MindSpore/mindrlhf,7
机器学习,FengGo/I-ReaxFF,7
机器学习,科大讯飞/iflearner-flow,7
机器学习,wwy/Machine_Learning_research_on_simple_target_recognition_and_intention_analysis,7
机器学习,MindSpore Lab/mindrl,7
机器学习,Gitee 极速下载/ai_choreographer,7
机器学习,DeepPSP/torch_ecg,7
机器学习,泰斯特/Amazing-AI,7
机器学习,Gitee 极速下载/rasa,7
机器学习,Apache/Mahout,7
机器学习,Gitee 极速下载/LineFlow,7
机器学习,mumulin/libalgdeploy-hi3559a,7
ai,livingbody/AutoCutout,8
ai,Ascend/cann-ops-adv,8
ai,OpenHarmony/ai_engine,8
ai,DeepSpark/DeepSparkInference,8
ai,andyham/RSPapers,8
ai,国家一级失眠/attendanceFaceDemo,8
ai,Gitee 极速下载/openpilot,8
ai,Ascend/RecSDK,8
ai,zghgchao/Netflix-Recommender-with-Spark,8
ai,Gitee 极速下载/ollama,8
ai,imi 开发组/imi-ai,8
ai,开源中国/LLM Map,8
ai,DeepSpark/DeepSparkHub,8
ai,PaddlePaddle/PaddleRec,8
ai,PaddlePaddle/VisualDL,8
机器学习,Gitee 极速下载/MMLSpark,8
机器学习,PaddlePaddle/PaddleHelix,8
机器学习,toniz/deeplab-on-ios,8
机器学习,idrl/idrlnet,8
机器学习,spr_prg/TensorFlow-Examples,8
机器学习,Gitee 极速下载/deeplearning4j-examples,8
机器学习,yuanbo-peng/Neural-Networks,8
机器学习,awesome-lib/awesome-machine-learning,8
机器学习,OpenMMLab/mmrazor,8
机器学习,AliyunContainerService/ai-starter,8
机器学习,Hank/build_a_neural_network_from_scratch,8
机器学习,高艳鹏/dgl,8
机器学习,Cambricon/CNStream,8
机器学习,盗理者/machinelearningapidemo,8
机器学习,Gitee 极速下载/linfa,8
ai,灵易/MLBot,9
ai,adai.design/homemaster.v1,9
ai,zm/multibot-chat,9
ai,TensorLayer/hyperpose,9
ai,omniai/omni_infer,9
ai,小铭同学/WeClone,9
ai,邓振华/AI智能识物（微信小程序）,9
ai,广州小橘灯信息科技有限公司/nexfly,9
ai,陈轩大魔王/Neuroevolution_T-rex,9
ai,Bd999/Recognize.js,9
ai,夜半饿得慌/KnifeREC,9
ai,源宝网络/baoaiback,9
ai,Chatopera/efaqa-corpus-zh,9
ai,包建强/FastOCRLabel,9
ai,Ascend/cann-ops,9
机器学习,Gitee 极速下载/Coach,9
机器学习,Gitee 极速下载/lightnet,9
机器学习,seanXYZ/SegDecNet,9
机器学习,mirrors_Qihoo360/tensornet,9
机器学习,mumulin/algmodelconvert,9
机器学习,KumaTea/pytorch-aarch64,9
机器学习,新无止竞/MNN,9
机器学习,gexing/pytorch实现bert做seq2seq任务,9
机器学习,Gitee 极速下载/ElasticRec,9
机器学习,PaddlePaddle/PaddleTS,9
机器学习,Gitee 极速下载/PostgresML,9
